no,nomor_ruas,nama_ruas,lingkungan,kelurahan,kecamatan,panjang,lebar,kondisi_jalan,perkerasan,prosentase_kerusakan,keterangan_utilitas,kubikasi_ruas
1,902,JLN PUNTODEWO GG I,JATEN,KADEMANGAN,KADEMANGAN,127.76,4,Rusak Ringan,Beton,20,Saluran air tertutup setengah ruas,2555.2
2,903,JLN PUNTODEWO GG 2,JATEN,KADEMANGAN,KADEMANGAN,72.47,2,Sedang,Beton,5,Tidak ada utilitas,724.7
3,904,JL PUNTODEWO GG 3,JANTEN,KADEMANGAN,KADEMANGAN,68.85,3.5,Rusak Berat,Beton,50,Tidak ada utilitas,1204.875
4,905,JLN PUNTODEWO GG 4,JANTEN,KADEMANGAN,KADEMANGAN,55.83,2.5,Rusak Berat,Tanah,100,Tidak ada utilitas,697.875
5,908,JL. BOLODEWO,JATEN,KADEMANGAN,KADEMANGAN,625.67,4.5,Baik,HotMix,50,Saluran Air,14077.575
6,914,JL. BOLODEWO,JATEN,KADEMANGAN,KADEMANGAN,480.41,4.5,Baik,Paving,0,1 saluran air,10809.225
7,919,JL. GANG BUNTU RT 1/RW 1,JATEN,KADEMANGAN,KADEMANGAN,84.02,2,Sedang,Beton,5,tidak ada utilitas,840.2
8,917,JL. RT 1/RW 1 GANG 2,JANTEN,KADEMANGAN,KADEMANGAN,215.77,4,Baik,Paving,0,Tidak ada utilitas,4315.4
9,918,JLN SAWAH,JANTEN,KADEMANGAN,KADEMANGAN,237.33,3.5,Rusak Ringan,Lapen,20,1 saluran air,4153.275
10,916,JL. RT 2/RW 1 GANG 1,JATEN,KADEMANGAN,KADEMANGAN,210.1,4,Baik,Paving,0,Tidak ada utilitas,4202
11,915,JL. RT 2/RW 1,JATEN,KADEMANGAN,KADEMANGAN,820.14,3.5,Rusak Berat,Lapen,60,1 saluran air,14352.45
12,967,JL. BATAS DESA DAWUHAN,JATISARI,KADEMANGAN,KADEMANGAN,303.16,3.3,Rusak Ringan,Lapen,30,Terdapat saluran air sebelah kiri ruas jalan,5002.14
13,907,JL. GANG BUNTU 2 RT 3/ RW 1,JATEN,KADEMANGAN,KADEMANGAN,41.26,3,Baik,Paving,0,Tidak ada saluran air,618.9
14,913,JL. RT 3/ RW 1,JATEN,KADEMANGAN,KADEMANGAN,547.23,5.5,Sedang,Lapen,10,2 saluran air,15048.825
15,966,JL. GANG RT 4/RW 7,JATISARI,KADEMANGAN,KADEMANGAN,50.67,2.1,Rusak Ringan,Beton,30,Tidak terdapat saluran air,532.035
16,906,JL. GANG ARJUNA 1 RT 1/RW 2,JATEN,KADEMANGAN,KADEMANGAN,57,2.5,Rusak Berat,Beton,100,Tidak ada saluran air,712.5
